TIMESTAMP,CONTRACT,OPEN,HIGH,LOW,CLOSE,TURNOVER
2019-01-02,OCT19,804.00,814.70,804.00,815.70,5
2019-01-03,OCT19,810.20,810.20,810.20,810.20,1
2019-01-04,OCT19,813.70,813.70,813.70,838.40,1
2019-01-07,OCT19,837.20,837.20,837.10,835.70,2
2019-01-08,OCT19,838.10,838.10,838.10,832.80,1
2019-01-09,OCT19,835.20,836.80,835.20,836.50,13
2019-01-10,OCT19,841.50,841.50,841.30,837.30,4
2019-01-11,OCT19,825.00,825.00,825.00,828.80,1
2019-01-14,OCT19,820.00,820.10,815.90,813.40,6
2019-01-15,OCT19,810.00,810.00,810.00,811.20,1
2019-01-16,OCT19,816.50,820.60,816.10,818.80,25
2019-01-17,OCT19,821.00,821.00,821.00,823.20,1
2019-01-18,OCT19,810.00,810.80,810.00,813.00,2
2019-01-22,OCT19,805.00,805.00,800.00,801.90,4
2019-01-23,OCT19,804.50,806.60,803.90,805.30,19
2019-01-24,OCT19,807.00,815.50,807.00,814.40,3
2019-01-25,OCT19,827.60,827.60,827.60,827.60,0
2019-01-28,OCT19,822.60,822.60,822.60,823.80,1
2019-01-29,OCT19,829.90,829.90,829.90,825.60,2
2019-01-30,OCT19,828.00,828.20,828.00,826.10,6
2019-01-31,OCT19,835.30,836.60,833.30,834.70,9
2019-02-01,OCT19,836.70,836.70,836.70,836.70,0
2019-02-04,OCT19,831.30,833.70,827.00,833.30,19
2019-02-05,OCT19,836.00,836.00,830.20,830.60,8
2019-02-06,OCT19,831.20,834.50,819.00,824.40,19
2019-02-07,OCT19,817.50,818.00,809.00,808.10,11
2019-02-08,OCT19,811.30,813.20,807.10,813.30,20
2019-02-11,OCT19,810.00,810.00,797.50,796.80,15
2019-02-12,OCT19,801.40,802.30,798.90,800.20,8
2019-02-13,OCT19,802.00,803.00,798.90,802.60,13
2019-02-14,OCT19,799.60,800.90,794.10,799.70,41
2019-02-15,OCT19,802.00,819.20,802.00,817.30,37
2019-02-18,OCT19,818.00,820.60,818.00,818.80,12
2019-02-19,OCT19,822.00,832.80,822.00,831.30,19
2019-02-20,OCT19,836.20,844.70,836.20,844.50,37
2019-02-21,OCT19,836.60,838.50,832.00,836.40,14
2019-02-22,OCT19,843.00,856.00,842.90,855.70,14
2019-02-25,OCT19,857.80,868.00,857.80,863.80,111
2019-02-26,OCT19,866.70,871.70,860.00,870.70,86
2019-02-27,OCT19,875.00,883.80,875.00,879.80,39
2019-02-28,OCT19,879.30,888.00,879.30,884.90,32
2019-03-01,OCT19,875.70,882.60,869.80,873.80,84
2019-03-04,OCT19,872.70,872.70,847.70,849.40,138
2019-03-05,OCT19,850.40,851.00,847.80,848.50,23
2019-03-06,OCT19,846.00,846.00,837.50,838.80,105
2019-03-07,OCT19,839.60,839.60,825.90,827.90,24
2019-03-08,OCT19,823.80,831.10,823.80,828.50,17
2019-03-11,OCT19,825.00,829.70,820.30,827.40,16
2019-03-12,OCT19,833.90,847.80,833.90,842.50,22
2019-03-13,OCT19,848.50,858.00,848.50,852.40,39
2019-03-14,OCT19,853.70,853.70,834.90,837.70,163
2019-03-15,OCT19,840.20,846.00,840.00,842.30,31
2019-03-18,OCT19,840.00,850.00,839.00,844.60,67
2019-03-19,OCT19,847.90,865.20,847.90,863.10,79
2019-03-20,OCT19,868.80,878.20,865.90,870.10,96
2019-03-21,OCT19,878.50,886.50,869.00,871.70,172
2019-03-22,OCT19,874.00,877.50,858.40,858.90,82
2019-03-25,OCT19,856.10,870.70,852.60,868.70,349
2019-03-26,OCT19,869.60,872.40,861.00,870.90,199
2019-03-27,OCT19,872.10,881.50,864.40,867.60,156
2019-03-28,OCT19,864.00,873.60,845.70,849.30,311
2019-03-29,OCT19,851.20,866.70,851.20,859.50,58
2019-04-01,OCT19,860.10,865.90,853.40,860.70,130
2019-04-02,OCT19,863.00,864.00,856.00,857.80,81
2019-04-03,OCT19,865.90,880.30,865.60,879.50,165
2019-04-04,OCT19,880.30,910.20,880.30,910.00,348
2019-04-05,OCT19,909.30,918.10,896.20,911.00,317
2019-04-08,OCT19,914.40,925.50,914.40,918.60,254
2019-04-09,OCT19,917.80,917.80,901.00,905.00,324
2019-04-10,OCT19,901.00,918.00,897.00,914.50,304
2019-04-11,OCT19,915.10,920.10,899.40,901.00,325
2019-04-12,OCT19,905.10,913.40,901.10,904.20,282
2019-04-15,OCT19,901.00,902.40,888.40,900.10,277
2019-04-16,OCT19,896.70,899.40,887.10,889.80,161
2019-04-17,OCT19,890.60,900.00,890.60,896.80,206
2019-04-18,OCT19,900.10,912.50,891.80,909.30,129
2019-04-22,OCT19,912.80,923.00,903.30,907.80,378
2019-04-23,OCT19,910.70,911.50,891.00,899.40,364
2019-04-24,OCT19,898.40,902.40,892.70,894.10,107
2019-04-25,OCT19,891.80,896.40,887.30,895.40,115
2019-04-26,OCT19,897.10,909.20,894.80,909.30,171
2019-04-29,OCT19,909.40,909.70,897.40,906.90,142
2019-04-30,OCT19,904.90,910.00,896.30,897.30,128
2019-05-01,OCT19,896.90,896.90,873.00,882.80,510
2019-05-02,OCT19,876.70,876.70,858.00,859.50,248
2019-05-03,OCT19,858.20,880.90,853.00,880.20,274
2019-05-06,OCT19,878.20,886.80,865.00,886.20,202
2019-05-07,OCT19,881.40,891.50,875.40,878.80,319
2019-05-08,OCT19,879.00,883.40,869.60,869.80,140
2019-05-09,OCT19,870.10,871.30,855.40,856.70,148
2019-05-10,OCT19,863.90,873.60,861.00,870.90,206
2019-05-13,OCT19,870.50,871.10,858.00,860.30,201
2019-05-14,OCT19,860.80,872.80,860.80,864.60,287
2019-05-15,OCT19,865.30,865.30,849.50,853.10,267
2019-05-16,OCT19,854.10,856.90,838.50,838.90,138
2019-05-17,OCT19,841.00,841.00,823.80,825.60,255
2019-05-20,OCT19,823.90,831.40,817.00,819.50,253
2019-05-21,OCT19,821.10,824.80,813.70,820.60,185
2019-05-22,OCT19,822.30,822.60,809.70,810.50,282
2019-05-23,OCT19,809.60,809.60,802.20,804.90,258
2019-05-24,OCT19,805.30,814.50,804.80,808.20,211
2019-05-27,OCT19,810.10,817.00,808.60,815.70,48
2019-05-28,OCT19,815.30,821.50,801.80,802.40,399
2019-05-29,OCT19,804.80,804.80,796.00,797.00,482
2019-05-30,OCT19,799.00,803.40,793.70,799.50,665
2019-05-31,OCT19,801.00,801.60,795.00,799.60,742
2019-06-03,OCT19,799.00,829.60,798.50,826.40,850
2019-06-04,OCT19,828.80,830.70,822.00,824.60,772
2019-06-05,OCT19,826.00,838.50,807.90,808.30,1111
2019-06-06,OCT19,811.00,813.30,804.80,809.30,389
2019-06-07,OCT19,810.20,817.10,805.70,811.80,382
2019-06-10,OCT19,813.70,815.60,802.50,810.80,663
2019-06-11,OCT19,813.60,821.00,806.30,819.80,958
2019-06-12,OCT19,819.70,825.10,813.70,815.80,766
2019-06-13,OCT19,816.00,819.90,810.70,814.60,941
2019-06-14,OCT19,817.30,823.30,807.40,810.00,2036
2019-06-17,OCT19,809.60,810.30,796.80,799.90,2158
2019-06-18,OCT19,799.80,810.40,795.50,807.10,2737
2019-06-19,OCT19,808.70,817.70,802.80,811.00,2568
2019-06-20,OCT19,816.80,828.90,810.00,810.60,5346
2019-06-21,OCT19,812.50,819.40,803.00,815.70,4762
2019-06-24,OCT19,814.00,820.80,812.00,816.30,4729
2019-06-25,OCT19,818.80,824.80,811.20,814.50,10411
2019-06-26,OCT19,813.30,824.20,808.30,822.00,18599
2019-06-27,OCT19,819.40,821.90,811.70,817.50,17187
2019-06-28,OCT19,818.80,844.90,817.50,841.10,30447
2019-07-01,OCT19,839.60,851.60,833.70,837.20,27493
2019-07-02,OCT19,837.50,843.30,828.30,833.50,19695
2019-07-03,OCT19,835.60,847.90,832.30,843.60,18998
2019-07-04,OCT19,842.50,845.30,836.80,839.00,6024
2019-07-05,OCT19,839.00,842.80,808.30,811.40,29424
2019-07-08,OCT19,815.00,823.90,811.10,820.40,16489
2019-07-09,OCT19,819.80,820.40,809.20,815.10,13567
2019-07-10,OCT19,815.40,832.70,811.30,830.00,19037
2019-07-11,OCT19,830.90,836.20,825.70,830.90,14272
2019-07-12,OCT19,828.70,835.00,820.60,834.60,12427
2019-07-15,OCT19,834.80,850.60,832.30,845.20,20192
2019-07-16,OCT19,847.80,855.30,840.40,846.90,23451
2019-07-17,OCT19,844.30,854.60,838.20,847.10,17299
2019-07-18,OCT19,849.00,858.30,846.60,849.90,19810
2019-07-19,OCT19,857.80,865.50,848.80,852.10,23135
2019-07-22,OCT19,850.10,857.00,848.30,852.70,11528
2019-07-23,OCT19,851.50,862.90,847.40,861.60,15906
2019-07-24,OCT19,860.40,882.40,858.90,881.10,24778
2019-07-25,OCT19,881.10,889.70,870.10,874.00,24569
2019-07-26,OCT19,872.50,874.30,863.50,867.80,15293
2019-07-29,OCT19,869.40,886.70,868.10,881.90,14405
2019-07-30,OCT19,884.90,886.50,871.80,872.60,16884
2019-07-31,OCT19,874.90,883.00,865.80,878.90,16076
2019-08-01,OCT19,868.20,870.10,845.60,851.30,34227
2019-08-02,OCT19,855.70,861.70,845.30,853.00,17733
2019-08-05,OCT19,850.90,863.50,845.70,857.90,17687
2019-08-06,OCT19,860.10,862.70,847.20,853.20,13733
2019-08-07,OCT19,856.00,873.50,849.60,871.00,23587
2019-08-08,OCT19,868.50,873.20,854.70,867.50,16889
2019-08-09,OCT19,868.70,871.90,861.30,863.80,12918
2019-08-12,OCT19,863.90,865.90,856.10,863.70,13593
2019-08-13,OCT19,860.80,870.20,839.70,859.70,26113
2019-08-14,OCT19,856.90,858.40,846.00,848.00,18498
2019-08-15,OCT19,847.30,850.50,835.80,842.00,18656
2019-08-16,OCT19,843.20,853.40,835.20,851.50,17260
2019-08-19,OCT19,852.10,860.90,845.40,856.80,16472
2019-08-20,OCT19,855.90,858.50,847.10,852.80,12085
2019-08-21,OCT19,852.90,859.10,842.60,858.10,14724
2019-08-22,OCT19,854.90,863.40,848.10,861.90,16962
2019-08-23,OCT19,860.00,872.30,852.50,855.30,21972
2019-08-26,OCT19,860.10,869.30,855.30,857.80,16142
2019-08-27,OCT19,859.30,871.70,857.60,868.20,14236
2019-08-28,OCT19,868.50,912.20,867.80,908.90,38775
2019-08-29,OCT19,907.00,939.00,897.70,920.00,45447
2019-08-30,OCT19,919.00,944.20,915.80,931.70,31230
2019-09-02,OCT19,937.50,942.30,928.00,933.50,11146
2019-09-03,OCT19,932.80,964.00,930.00,955.60,28863
2019-09-04,OCT19,961.20,994.30,958.60,984.20,34444
2019-09-05,OCT19,987.70,1000.80,946.60,963.70,40504
2019-09-06,OCT19,964.60,967.50,929.50,958.50,35985
2019-09-09,OCT19,952.7,965.0,945.3,952.7,22542
2019-09-10,OCT19,949.9,950.0,930.8,936.6,25523
2019-09-11,OCT19,932.9,948.3,932.4,940.2,21613
2019-09-16,OCT19,958.5,962.2,928.4,939.2,24937
